DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2020-08-11,15:00:00,99840,20200811479201,1QFinancialStatements_Consolidated_IFRS,1Q,2020-04-01,2020-06-30,2020-04-01,2021-03-31,,,1450055000000,,,1255712000000,615.95,589.96,33563348000000,7576780000000,0.195,,154024000000,1241103000000,1415375000000,6181315000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,true,,2089814330,143318747,2026277715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-09,15:00:00,99840,20201109418346,2QFinancialStatements_Consolidated_IFRS,2Q,2020-04-01,2020-09-30,2020-04-01,2021-03-31,,,2630531000000,,,1883211000000,950.54,903.06,35648197000000,8420605000000,0.205,,531867000000,-322186000000,1591071000000,5105162000000,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,true,,2089814330,210494347,1965237924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,15:00:00,99840,20210208457691,3QFinancialStatements_Consolidated_IFRS,3Q,2020-04-01,2020-12-31,2020-04-01,2021-03-31,,,4138038000000,,,3055162000000,1572.09,1476.17,37858793000000,8622306000000,0.201,,-72971000000,-805934000000,2055659000000,4452099000000,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,true,,2089814330,288169439,1929114012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12,15:00:00,99840,20210512412756,FYFinancialStatements_Consolidated_IFRS,FY,2020-04-01,2021-03-31,2020-04-01,2021-03-31,2021-04-01,2022-03-31,5628167000000,,,4987962000000,2619.61,2437.29,45750453000000,11955593000000,0.223,5588.8,557250000000,-1468599000000,2194077000000,4662725000000,,22.0,,22.0,44.0,,79592000000,0.017,,,,,,,,,,22.0,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,true,,2089814330,351297587,1892538088,1622615000000,1569569000000,1258459000000,1403478000000,741.58,19234339000000,3536120000000,0.183,2027.26,,,,,,,,,,,,,,,,,,,,
2021-08-10,15:00:00,99840,20210810482573,1QFinancialStatements_Consolidated_IFRS,1Q,2021-04-01,2021-06-30,2021-04-01,2022-03-31,,,1479134000000,,,761509000000,407.86,368.1,47185597000000,12491107000000,0.227,,507438000000,-975819000000,786091000000,4980062000000,,,,,,,,,,22.0,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,true,,1722953730,9840813,1847754990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-16,17:17:00,99840,20210816486961,1QFinancialStatements_Consolidated_IFRS,1Q,2021-04-01,2021-06-30,2021-04-01,2022-03-31,,,1479134000000,,,761509000000,437.45,394.73,47185597000000,12491107000000,0.227,,507438000000,-975819000000,786091000000,4980062000000,,,,,,,,,,22.0,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,true,,1722953730,9840813,1722780500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-08,15:00:00,99840,20211105426532,2QFinancialStatements_Consolidated_IFRS,2Q,2021-04-01,2021-09-30,2021-04-01,2022-03-31,,,2983504000000,,,363569000000,202.46,195.62,46220788000000,12339470000000,0.228,,2078239000000,-1956685000000,254432000000,5093370000000,,22.0,,,,,,,,,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,true,,1722953730,9337361,1718003004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-08,15:00:00,99840,20220207582303,3QFinancialStatements_Consolidated_IFRS,3Q,2021-04-01,2021-12-31,2021-04-01,2022-03-31,,,4580840000000,,,392617000000,214.73,207.57,48242890000000,12846067000000,0.23,,2408979000000,-2843565000000,311028000000,4618766000000,,22.0,,,,,,,,,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,true,,1722953730,21032966,1716056144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-12,15:00:00,99840,20220511541219,FYFinancialStatements_Consolidated_IFRS,FY,2021-04-01,2022-03-31,2021-04-01,2022-03-31,2022-04-01,2023-03-31,6221534000000,,,-1708029000000,-1018.58,-1025.67,47544670000000,11707762000000,0.21,5755.92,2725450000000,-3018654000000,602216000000,5169001000000,,22.0,,22.0,44.0,,73929000000,,,,,,,,,,,22.0,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,true,,1722953730,76163508,1708988647,856003000000,787261000000,-200263000000,-352390000000,-206.2,22412112000000,2759755000000,0.123,1669.1,,,,,,,,,,,,,,,,,,,,
2022-08-08,15:00:00,99840,20220805513897,1QFinancialStatements_Consolidated_IFRS,1Q,2022-04-01,2022-06-30,2022-04-01,2023-03-31,,,1572030000000,,,-3162700000000,-1949.55,-1950.29,46976341000000,10174598000000,0.182,,140805000000,286098000000,175926000000,6070664000000,,,,,,,,,,22.0,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1722953730,132229718,1627687814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-11,15:00:00,99840,20221004540594,2QFinancialStatements_Consolidated_IFRS,2Q,2022-04-01,2022-09-30,2022-04-01,2023-03-31,,,3182477000000,,,-129098000000,-93.65,-95.14,46200567000000,13519609000000,0.257,,555520000000,271294000000,-578328000000,5886162000000,,22.0,,,,,,,,,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1722953730,173065327,1602801161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-07,15:00:00,99840,20230206501442,3QFinancialStatements_Consolidated_IFRS,3Q,2022-04-01,2022-12-31,2022-04-01,2023-03-31,,,4875773000000,,,-912513000000,-599.97,-608.51,42343244000000,10593588000000,0.213,,724846000000,463212000000,-875878000000,5778054000000,,22.0,,,,,,,,,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1722953730,260495345,1568603134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-11,15:00:00,99840,20230509562168,FYFinancialStatements_Consolidated_IFRS,FY,2022-04-01,2023-03-31,2022-04-01,2023-03-31,2023-04-01,2024-03-31,6570439000000,,,-970144000000,-652.37,-662.41,43936368000000,10649215000000,0.206,5888.94,741292000000,547578000000,191517000000,6925153000000,,22.0,,22.0,44.0,,66285000000,,,,,,,,,,,22.0,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,true,,false,false,false,,1469995230,6947599,1542473887,657112000000,592131000000,-1057199000000,2828995000000,1834.06,24563884000000,5734553000000,0.233,3913.2,,,,,,,,,,,,,,,,,,,,
2023-08-08,15:00:00,99840,20230808536396,1QFinancialStatements_Consolidated_IFRS,1Q,2023-04-01,2023-06-30,2023-04-01,2024-03-31,,,1557507000000,,,-477616000000,-332.75,-333.97,45680967000000,11449758000000,0.214,,-172574000000,-307791000000,529565000000,7316147000000,,,,,,,,,,22.0,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1469995230,5956040,1463178016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-09,15:00:00,99840,20231107581548,2QFinancialStatements_Consolidated_IFRS,2Q,2023-04-01,2023-09-30,2023-04-01,2024-03-31,,,3227060000000,,,-1408727000000,-971.65,-974.03,46010042000000,11671269000000,0.212,,88767000000,-767376000000,-12667000000,6707813000000,,22.0,,,,,,,,,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1469995230,4279632,1464122067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-08,15:00:00,99840,20240206527656,3QFinancialStatements_Consolidated_IFRS,3Q,2023-04-01,2023-12-31,2023-04-01,2024-03-31,,,5001901000000,,,-458723000000,-325.46,-328.78,44983750000000,11712610000000,0.217,,149707000000,-919178000000,-264581000000,6163703000000,,22.0,,,,,,,,,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,1469995230,4199717,1464664871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-13,15:00:00,99840,20240509587304,FYFinancialStatements_Consolidated_IFRS,FY,2023-04-01,2024-03-31,2023-04-01,2024-03-31,2024-04-01,2025-03-31,6756500000000,,,-227646000000,-170.99,-174.2,46724243000000,13237169000000,0.239,7479.43,250547000000,-841461000000,-606222000000,6186874000000,,22.0,,22.0,44.0,,64496000000,,,,,,,,,,,22.0,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,false,,true,false,false,,1469995230,4069831,1464957496,20818000000,-42808000000,-1161224000000,69020000000,47.11,23334956000000,5331126000000,0.228,3633.53,,,,,,,,,,,,,,,,,,,,
2024-08-07,15:00:00,99840,20240806563439,1QFinancialStatements_Consolidated_IFRS,1Q,2024-04-01,2024-06-30,2024-04-01,2025-03-31,,,1701747000000,,,-174281000000,-122.35,-123.67,47834174000000,14203030000000,0.253,,-43005000000,-330293000000,-543837000000,5498931000000,,,,,,,,,,22.0,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,false,false,,1469995230,4022766,1465946567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-12,15:30:00,99840,20241111517347,2QFinancialStatements_Consolidated_IFRS,2Q,2024-04-01,2024-09-30,2024-04-01,2025-03-31,,,3469922000000,,,1005319000000,680.7,679.37,45346920000000,12807197000000,0.237,,179491000000,-501530000000,-1341446000000,4476300000000,,22.0,,,,,,,,,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,false,false,,1469995230,22932129,1463279788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-12,15:30:00,99840,20250210568594,3QFinancialStatements_Consolidated_IFRS,3Q,2024-04-01,2024-12-31,2024-04-01,2025-03-31,,,5302576000000,,,636154000000,426.74,425.3,47029122000000,14574555000000,0.26,,149228000000,-589188000000,-1275258000000,4660023000000,,22.0,,,,,,,,,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,false,false,,1469995230,28871931,1457006063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-13,15:30:00,99840,20250512540450,FYFinancialStatements_Consolidated_IFRS,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,2025-04-01,2026-03-31,7243752000000,,,1153332000000,780.82,779.4,45013756000000,13953026000000,0.257,7905.39,203580000000,-1631540000000,-1116384000000,3713028000000,,22.0,,22.0,44.0,,63463000000,0.056,,,,,,,,,,22.0,,22.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,true,true,false,false,,1469995230,32398924,1452982000,408569000000,304715000000,-481572000000,1082903000000,745.3,23044859000000,5325482000000,0.231,3701.94,,,,,,,,,,,,,,,,,,,,
